event_id,event_source,scene_token,track_id,class_name,duration,coverage,window_frame_indices,seed,mask_box,source_image_path,cache_key
6f83169d_track11_detector_intervention_d2_c0.5,detector_intervention,6f83169d067343658251f72e1dd17dbc,11,car,2,0.5,80;81,42,,,
6f83169d_track11_detector_intervention_d2_c1.0,detector_intervention,6f83169d067343658251f72e1dd17dbc,11,car,2,1.0,80;81,42,,,
6f83169d_track11_detector_intervention_d5_c0.5,detector_intervention,6f83169d067343658251f72e1dd17dbc,11,car,5,0.5,79;80;81;86;87,42,,,
6f83169d_track11_detector_intervention_d5_c1.0,detector_intervention,6f83169d067343658251f72e1dd17dbc,11,car,5,1.0,79;80;81;86;87,42,,,
325cef68_track27_detector_intervention_d2_c0.5,detector_intervention,325cef682f064c55a255f2625c533b75,27,person,2,0.5,40;41,42,,,
325cef68_track27_detector_intervention_d2_c1.0,detector_intervention,325cef682f064c55a255f2625c533b75,27,person,2,1.0,40;41,42,,,
325cef68_track27_detector_intervention_d5_c0.5,detector_intervention,325cef682f064c55a255f2625c533b75,27,person,5,0.5,39;40;41;42;43,42,,,
325cef68_track27_detector_intervention_d5_c1.0,detector_intervention,325cef682f064c55a255f2625c533b75,27,person,5,1.0,39;40;41;42;43,42,,,
de7d80a1_track8_detector_intervention_d2_c0.5,detector_intervention,de7d80a1f5fb4c3e82ce8a4f213b450a,8,person,2,0.5,50;51,42,,,
de7d80a1_track8_detector_intervention_d2_c1.0,detector_intervention,de7d80a1f5fb4c3e82ce8a4f213b450a,8,person,2,1.0,50;51,42,,,
de7d80a1_track8_detector_intervention_d5_c0.5,detector_intervention,de7d80a1f5fb4c3e82ce8a4f213b450a,8,person,5,0.5,49;50;51;52;53,42,,,
de7d80a1_track8_detector_intervention_d5_c1.0,detector_intervention,de7d80a1f5fb4c3e82ce8a4f213b450a,8,person,5,1.0,49;50;51;52;53,42,,,
cc8c0bf5_track2_detector_intervention_d2_c0.5,detector_intervention,cc8c0bf57f984915a77078b10eb33198,2,car,2,0.5,35;36,42,,,
cc8c0bf5_track2_detector_intervention_d2_c1.0,detector_intervention,cc8c0bf57f984915a77078b10eb33198,2,car,2,1.0,35;36,42,,,
cc8c0bf5_track2_detector_intervention_d5_c0.5,detector_intervention,cc8c0bf57f984915a77078b10eb33198,2,car,5,0.5,34;35;36;37;38,42,,,
cc8c0bf5_track2_detector_intervention_d5_c1.0,detector_intervention,cc8c0bf57f984915a77078b10eb33198,2,car,5,1.0,34;35;36;37;38,42,,,
c5224b9b_track18_detector_intervention_d2_c0.5,detector_intervention,c5224b9b454b4ded9b5d2d2634bbda8a,18,car,2,0.5,185;186,42,,,
c5224b9b_track18_detector_intervention_d2_c1.0,detector_intervention,c5224b9b454b4ded9b5d2d2634bbda8a,18,car,2,1.0,185;186,42,,,
c5224b9b_track18_detector_intervention_d5_c0.5,detector_intervention,c5224b9b454b4ded9b5d2d2634bbda8a,18,car,5,0.5,184;185;186;187;188,42,,,
c5224b9b_track18_detector_intervention_d5_c1.0,detector_intervention,c5224b9b454b4ded9b5d2d2634bbda8a,18,car,5,1.0,184;185;186;187;188,42,,,
6f83169d_track21_detector_intervention_d2_c0.5,detector_intervention,6f83169d067343658251f72e1dd17dbc,21,car,2,0.5,138;139,42,,,
6f83169d_track21_detector_intervention_d2_c1.0,detector_intervention,6f83169d067343658251f72e1dd17dbc,21,car,2,1.0,138;139,42,,,
6f83169d_track21_detector_intervention_d5_c0.5,detector_intervention,6f83169d067343658251f72e1dd17dbc,21,car,5,0.5,137;138;139;140;141,42,,,
6f83169d_track21_detector_intervention_d5_c1.0,detector_intervention,6f83169d067343658251f72e1dd17dbc,21,car,5,1.0,137;138;139;140;141,42,,,
6f83169d_track11_controlled_visual_d2_c0.5,controlled_visual,6f83169d067343658251f72e1dd17dbc,11,car,2,0.5,80;81,5223,"[642.7, 487.3, 677.4, 514.7]",sweeps/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489302662404.jpg,9aeeccd5b5df966f8b0404f334f5742ea82b20cd6a8768c9e5f16b35d0f2295d
6f83169d_track11_controlled_visual_d2_c1.0,controlled_visual,6f83169d067343658251f72e1dd17dbc,11,car,2,1.0,80;81,445,"[635.5, 481.6, 684.6, 520.3]",sweeps/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489302662404.jpg,09f7c7c976d1b3fc56539589b72544bdc88bfda0cd73adc77157b984f7f6c046
6f83169d_track11_controlled_visual_d5_c0.5,controlled_visual,6f83169d067343658251f72e1dd17dbc,11,car,5,0.5,79;80;81;86;87,7108,"[642.0, 487.5, 676.3, 514.3]",sweeps/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489302612404.jpg,4563d36c7d7d85d2a4909e60ecf4f4bf78b679df3095d0092cdec0f86267f5c0
6f83169d_track11_controlled_visual_d5_c1.0,controlled_visual,6f83169d067343658251f72e1dd17dbc,11,car,5,1.0,79;80;81;86;87,5315,"[634.9, 481.9, 683.4, 519.9]",sweeps/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489302612404.jpg,6afcbfb462e2733a0b65f334a178267aa17d0baf75dbd26ea0397c94da989e60
325cef68_track27_controlled_visual_d2_c0.5,controlled_visual,325cef682f064c55a255f2625c533b75,27,person,2,0.5,40;41,8540,"[365.5, 492.3, 406.4, 595.3]",sweeps/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984236862460.jpg,853a8673da8d8fbe02ce7db8022fdbc50fd99c6973ef59fbe1d00bef3c1488cd
