event_id,method_name,target_linked,n_hidden_frames,n_hidden_frames_alive,hidden_frame_coverage,fully_bridged,n_hidden_frames_with_gt,mean_center_error_px,mean_iou,recovery_status,recovery_latency_frames,event_source,duration,coverage
fcbccedd_2ef4b4d2,yolo_only,False,48,0,,,0,,,n/a,,natural,,
fcbccedd_2ef4b4d2,static_memory,False,48,0,,,0,,,n/a,,natural,,
fcbccedd_2ef4b4d2,sort,False,48,0,,,0,,,n/a,,natural,,
fcbccedd_2ef4b4d2,bytetrack,False,48,0,,,0,,,n/a,,natural,,
fcbccedd_2ef4b4d2,oatm_mvp,False,48,0,,,0,,,n/a,,natural,,
6f83169d_f53b4aa3,yolo_only,False,29,0,,,0,,,n/a,,natural,,
6f83169d_f53b4aa3,static_memory,False,29,0,,,0,,,n/a,,natural,,
6f83169d_f53b4aa3,sort,False,29,0,,,0,,,n/a,,natural,,
6f83169d_f53b4aa3,bytetrack,False,29,0,,,0,,,n/a,,natural,,
6f83169d_f53b4aa3,oatm_mvp,False,29,0,,,0,,,n/a,,natural,,
de7d80a1_155047a7,yolo_only,True,25,0,0.0,False,0,,,not_recovered,,natural,,
de7d80a1_155047a7,static_memory,True,25,1,0.04,False,1,24.499640813693514,0.3016390038515002,not_recovered,,natural,,
de7d80a1_155047a7,sort,True,25,1,0.04,False,1,15.448535057817509,0.29623669904118655,not_recovered,,natural,,
de7d80a1_155047a7,bytetrack,True,25,6,0.24,False,1,7.551703863650084,0.4589976972754581,new_id,5.0,natural,,
de7d80a1_155047a7,oatm_mvp,True,25,25,1.0,True,5,40.802373717760304,0.32590660438018204,new_id,5.0,natural,,
fcbccedd_0809d64d,yolo_only,False,24,0,,,0,,,n/a,,natural,,
fcbccedd_0809d64d,static_memory,False,24,0,,,0,,,n/a,,natural,,
fcbccedd_0809d64d,sort,False,24,0,,,0,,,n/a,,natural,,
fcbccedd_0809d64d,bytetrack,False,24,0,,,0,,,n/a,,natural,,
fcbccedd_0809d64d,oatm_mvp,False,24,0,,,0,,,n/a,,natural,,
cc8c0bf5_c4041d38,yolo_only,False,12,0,,,0,,,n/a,,natural,,
cc8c0bf5_c4041d38,static_memory,False,12,0,,,0,,,n/a,,natural,,
cc8c0bf5_c4041d38,sort,False,12,0,,,0,,,n/a,,natural,,
cc8c0bf5_c4041d38,bytetrack,False,12,0,,,0,,,n/a,,natural,,
cc8c0bf5_c4041d38,oatm_mvp,False,12,0,,,0,,,n/a,,natural,,
fcbccedd_045cd82a,yolo_only,True,12,2,0.16666666666666666,False,2,33.270748815286495,0.4564306385519022,detected,5.0,natural,,
fcbccedd_045cd82a,static_memory,True,12,3,0.25,False,1,32.04837359367865,0.4449529919683853,new_id,5.0,natural,,
fcbccedd_045cd82a,sort,True,12,3,0.25,False,1,15.447198839266807,0.5992161898655735,new_id,5.0,natural,,
fcbccedd_045cd82a,bytetrack,True,12,3,0.25,False,1,12.992276610200607,0.5861353546676402,new_id,5.0,natural,,
