event_id,method_name,target_linked,n_hidden_frames,n_hidden_frames_alive,hidden_frame_coverage,fully_bridged,n_hidden_frames_with_gt,mean_center_error_px,mean_iou,recovery_status,recovery_latency_frames,split
fcbccedd_2ef4b4d2,bytetrack_b5,False,48,0,,,0,,,n/a,,validation
fcbccedd_2ef4b4d2,bytetrack_b12,False,48,0,,,0,,,n/a,,validation
fcbccedd_2ef4b4d2,selective_oatm,False,48,0,,,0,,,n/a,,validation
fcbccedd_2ef4b4d2,relational_camera,False,48,0,,,0,,,n/a,,validation
fcbccedd_2ef4b4d2,relational_complete,False,48,0,,,0,,,n/a,,validation
6f83169d_f53b4aa3,bytetrack_b5,False,29,0,,,0,,,n/a,,development
6f83169d_f53b4aa3,bytetrack_b12,False,29,0,,,0,,,n/a,,development
6f83169d_f53b4aa3,selective_oatm,False,29,0,,,0,,,n/a,,development
6f83169d_f53b4aa3,relational_camera,False,29,0,,,0,,,n/a,,development
6f83169d_f53b4aa3,relational_complete,False,29,0,,,0,,,n/a,,development
de7d80a1_155047a7,bytetrack_b5,True,25,6,0.24,False,1,7.550269604497844,0.45900076497538467,new_id,5.0,development
de7d80a1_155047a7,bytetrack_b12,True,25,13,0.52,False,3,22.62416953924776,0.43650910921626074,new_id,5.0,development
de7d80a1_155047a7,selective_oatm,True,25,9,0.36,False,2,14.049887393909401,0.4726939772966742,new_id,5.0,development
de7d80a1_155047a7,relational_camera,True,25,25,1.0,True,5,426.3439414670428,0.09020606070123205,new_id,5.0,development
de7d80a1_155047a7,relational_complete,True,25,25,1.0,True,5,428.76214521244384,0.09180015299507693,new_id,5.0,development
fcbccedd_0809d64d,bytetrack_b5,False,24,0,,,0,,,n/a,,validation
fcbccedd_0809d64d,bytetrack_b12,False,24,0,,,0,,,n/a,,validation
fcbccedd_0809d64d,selective_oatm,False,24,0,,,0,,,n/a,,validation
fcbccedd_0809d64d,relational_camera,False,24,0,,,0,,,n/a,,validation
fcbccedd_0809d64d,relational_complete,False,24,0,,,0,,,n/a,,validation
cc8c0bf5_c4041d38,bytetrack_b5,False,12,0,,,0,,,n/a,,development
cc8c0bf5_c4041d38,bytetrack_b12,False,12,0,,,0,,,n/a,,development
cc8c0bf5_c4041d38,selective_oatm,False,12,0,,,0,,,n/a,,development
cc8c0bf5_c4041d38,relational_camera,False,12,0,,,0,,,n/a,,development
cc8c0bf5_c4041d38,relational_complete,False,12,0,,,0,,,n/a,,development
fcbccedd_045cd82a,bytetrack_b5,True,12,3,0.25,False,1,12.99283352584591,0.5861329657258989,new_id,5.0,validation
fcbccedd_045cd82a,bytetrack_b12,True,12,12,1.0,True,3,18.719736788132114,0.54378086388139,same_id,5.0,validation
fcbccedd_045cd82a,selective_oatm,True,12,6,0.5,False,2,17.665754102038683,0.5494321592019451,new_id,5.0,validation
fcbccedd_045cd82a,relational_camera,True,12,12,1.0,True,3,162.64484495788986,0.19448998920591043,new_id,5.0,validation
fcbccedd_045cd82a,relational_complete,True,12,12,1.0,True,3,185.4892661570898,0.1503395751256359,new_id,5.0,validation
