run_id,scenario,family,method,gap_frames,hidden_frames_alive,hidden_coverage,fully_bridged,same_id_recovery,mean_center_error_px,ghost_duration_frames,relation_supported_frames,wrong_associations,runtime_ms
eac923a94d04,short_occlusion,occlusion,bytetrack_b5,3,3,1.0,True,True,0.012485017978434598,0,0,0,2.663620747625828
eac923a94d04,short_occlusion,occlusion,bytetrack_b12,3,3,1.0,True,True,0.012485017978434598,0,0,0,1.3553742319345474
eac923a94d04,short_occlusion,occlusion,selective_oatm,3,3,1.0,True,True,0.012485017978434598,0,0,0,1.3378355652093887
eac923a94d04,short_occlusion,occlusion,relational_camera,3,3,1.0,True,True,0.006786026014964364,0,3,0,2.186434343457222
eac923a94d04,short_occlusion,occlusion,relational_no_clearance,3,3,1.0,True,True,0.006786026014964364,0,3,0,1.8970221281051636
eac923a94d04,short_occlusion,occlusion,relational_complete,3,3,1.0,True,True,0.006786026014964364,0,3,0,1.8290197476744652
eac923a94d04,long_occlusion,occlusion,bytetrack_b5,7,5,0.7142857142857143,False,False,0.018477826608091164,0,0,0,3.0228300020098686
eac923a94d04,long_occlusion,occlusion,bytetrack_b12,7,7,1.0,True,True,0.02447063523774773,0,0,0,2.170730382204056
eac923a94d04,long_occlusion,occlusion,selective_oatm,7,7,1.0,True,True,0.02447063523774773,0,0,0,2.391234040260315
eac923a94d04,long_occlusion,occlusion,relational_camera,7,7,1.0,True,True,0.006693432535111502,0,7,0,3.719155676662922
eac923a94d04,long_occlusion,occlusion,relational_no_clearance,7,7,1.0,True,True,0.006693432535111502,0,7,0,2.9572704806923866
eac923a94d04,long_occlusion,occlusion,relational_complete,7,7,1.0,True,True,0.006693432535111502,0,7,0,2.5483891367912292
eac923a94d04,moving_occluder,occlusion,bytetrack_b5,5,5,1.0,True,True,0.018477826608091164,0,0,0,1.3130959123373032
eac923a94d04,moving_occluder,occlusion,bytetrack_b12,5,5,1.0,True,True,0.018477826608091164,0,0,0,1.2027714401483536
eac923a94d04,moving_occluder,occlusion,selective_oatm,5,4,0.8,False,False,0.015481422293262881,0,0,0,1.2969309464097023
eac923a94d04,moving_occluder,occlusion,relational_camera,5,5,1.0,True,True,13.99551151322413,0,5,0,1.9280696287751198
eac923a94d04,moving_occluder,occlusion,relational_no_clearance,5,5,1.0,True,True,13.99551151322413,0,5,0,1.8584150820970535
eac923a94d04,moving_occluder,occlusion,relational_complete,5,5,1.0,True,True,13.99551151322413,0,5,0,1.8786294385790825
eac923a94d04,multiple_occluders,occlusion,bytetrack_b5,5,5,1.0,True,True,0.014782261286455878,0,0,0,1.6824724152684212
eac923a94d04,multiple_occluders,occlusion,bytetrack_b12,5,5,1.0,True,True,0.014782261286455878,0,0,0,1.6472293063998222
eac923a94d04,multiple_occluders,occlusion,selective_oatm,5,5,1.0,True,True,0.014782261286455878,0,0,0,1.756284385919571
eac923a94d04,multiple_occluders,occlusion,relational_camera,5,5,1.0,True,True,0.005391487867899514,0,5,0,39.067589677870274
eac923a94d04,multiple_occluders,occlusion,relational_no_clearance,5,5,1.0,True,True,0.005391487867899514,0,5,0,4.425636492669582
eac923a94d04,multiple_occluders,occlusion,relational_complete,5,5,1.0,True,True,0.005391487867899514,0,5,0,2.684788778424263
eac923a94d04,abrupt_camera_pan,occlusion,bytetrack_b5,5,5,1.0,True,False,24.0,0,0,0,1.3300813734531403
eac923a94d04,abrupt_camera_pan,occlusion,bytetrack_b12,5,5,1.0,True,True,24.0,0,0,0,1.2357328087091446
eac923a94d04,abrupt_camera_pan,occlusion,selective_oatm,5,4,0.8,False,False,20.0,0,0,0,1.2872051447629929
eac923a94d04,abrupt_camera_pan,occlusion,relational_camera,5,5,1.0,True,True,0.06708210322244441,0,5,0,320.3030461445451
eac923a94d04,abrupt_camera_pan,occlusion,relational_no_clearance,5,5,1.0,True,True,8.000395440777732,0,5,0,2.9159775003790855
eac923a94d04,abrupt_camera_pan,occlusion,relational_complete,5,5,1.0,True,True,8.000395440777732,0,5,0,2.178037539124489
eac923a94d04,ordinary_miss,negative,bytetrack_b5,6,5,0.8333333333333334,False,,0.018477826608091164,5,0,0,54.61256206035614
eac923a94d04,ordinary_miss,negative,bytetrack_b12,6,6,1.0,True,,0.021474230922919446,6,0,0,0.6156796589493752
eac923a94d04,ordinary_miss,negative,selective_oatm,6,1,0.16666666666666666,False,,0.006492209348778033,1,0,0,0.43462682515382767
eac923a94d04,ordinary_miss,negative,relational_camera,6,1,0.16666666666666666,False,,0.006492209348778033,1,0,0,0.5566533654928207
