sample_number,excel_row,stage_number,stage_name,excel_value,source_path,destination_path,status,notes
1,2,1,previous_no_occlusion,n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610412404,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610412404.jpg,occluded_samples/sample_001/1_previous_no_occlusion.jpg,already_present,
1,2,2,first_partial_occlusion,n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610912404,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610912404.jpg,occluded_samples/sample_001/2_first_partial_occlusion.jpg,copied,
1,2,3,full_occlusion,n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151611862404,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151611862404.jpg,occluded_samples/sample_001/3_full_occlusion.jpg,already_present,
1,2,4,first_partial_appearance,n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151612362404,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151612362404.jpg,occluded_samples/sample_001/4_first_partial_appearance.jpg,already_present,
1,2,5,full_appearance,n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151612862404,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151612862404.jpg,occluded_samples/sample_001/5_full_appearance.jpg,already_present,
2,3,1,previous_no_occlusion,- ,,,missing,"Cell contains placeholder '- ', not a real filename."
2,3,2,first_partial_occlusion,,,,empty_excel_cell,
2,3,3,full_occlusion,,,,empty_excel_cell,
2,3,4,first_partial_appearance,,,,empty_excel_cell,
2,3,5,full_appearance,,,,empty_excel_cell,
3,4,1,previous_no_occlusion,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489300012404,samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489300012404.jpg,occluded_samples/sample_003/1_previous_no_occlusion.jpg,already_present,
3,4,2,first_partial_occlusion,,,,empty_excel_cell,
3,4,3,full_occlusion,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489300512404,samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489300512404.jpg,occluded_samples/sample_003/3_full_occlusion.jpg,already_present,
3,4,4,first_partial_appearance,,,,empty_excel_cell,
3,4,5,full_appearance,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489302512404,samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489302512404.jpg,occluded_samples/sample_003/5_full_appearance.jpg,already_present,
4,5,1,previous_no_occlusion,n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657115112404,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657115112404.jpg,occluded_samples/sample_004/1_previous_no_occlusion.jpg,already_present,
4,5,2,first_partial_occlusion,,,,empty_excel_cell,
4,5,3,full_occlusion,n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657115612404,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657115612404.jpg,occluded_samples/sample_004/3_full_occlusion.jpg,already_present,
4,5,4,first_partial_appearance,,,,empty_excel_cell,
4,5,5,full_appearance,n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657116112404,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657116112404.jpg,occluded_samples/sample_004/5_full_appearance.jpg,already_present,
4,6,1,previous_no_occlusion,n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657118612404,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657118612404.jpg,occluded_samples/sample_005/1_previous_no_occlusion.jpg,already_present,
4,6,2,first_partial_occlusion,,,,empty_excel_cell,
4,6,3,full_occlusion,n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657119112404,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657119112404.jpg,occluded_samples/sample_005/3_full_occlusion.jpg,already_present,
4,6,4,first_partial_appearance,,,,empty_excel_cell,
4,6,5,full_appearance,n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657119612404,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657119612404.jpg,occluded_samples/sample_005/5_full_appearance.jpg,already_present,
4,7,1,previous_no_occlusion,n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657123612404,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657123612404.jpg,occluded_samples/sample_006/1_previous_no_occlusion.jpg,already_present,
4,7,2,first_partial_occlusion,,,,empty_excel_cell,
4,7,3,full_occlusion,n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657124112404,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657124112404.jpg,occluded_samples/sample_006/3_full_occlusion.jpg,already_present,
4,7,4,first_partial_appearance,,,,empty_excel_cell,
4,7,5,full_appearance,n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657124612404,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657124612404.jpg,occluded_samples/sample_006/5_full_appearance.jpg,already_present,
4,8,1,previous_no_occlusion,n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657119612404,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657119612404.jpg,occluded_samples/sample_007/1_previous_no_occlusion.jpg,already_present,
4,8,2,first_partial_occlusion,,,,empty_excel_cell,
4,8,3,full_occlusion,n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657120112404,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657120112404.jpg,occluded_samples/sample_007/3_full_occlusion.jpg,already_present,
4,8,4,first_partial_appearance,,,,empty_excel_cell,
4,8,5,full_appearance,n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657120612404,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657120612404.jpg,occluded_samples/sample_007/5_full_appearance.jpg,already_present,
5,9,1,previous_no_occlusion,-,,,missing,"Cell contains placeholder '-', not a real filename."
5,9,2,first_partial_occlusion,,,,empty_excel_cell,
5,9,3,full_occlusion,,,,empty_excel_cell,
5,9,4,first_partial_appearance,,,,empty_excel_cell,
5,9,5,full_appearance,,,,empty_excel_cell,
6,10,1,previous_no_occlusion,-,,,missing,"Cell contains placeholder '-', not a real filename."
6,10,2,first_partial_occlusion,,,,empty_excel_cell,
6,10,3,full_occlusion,,,,empty_excel_cell,
6,10,4,first_partial_appearance,,,,empty_excel_cell,
6,10,5,full_appearance,,,,empty_excel_cell,
7,11,1,previous_no_occlusion,- ,,,missing,"Cell contains placeholder '- ', not a real filename."
7,11,2,first_partial_occlusion,,,,empty_excel_cell,
7,11,3,full_occlusion,,,,empty_excel_cell,
7,11,4,first_partial_appearance,,,,empty_excel_cell,
7,11,5,full_appearance,,,,empty_excel_cell,
8,12,1,previous_no_occlusion,n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800851412460,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800851412460.jpg,occluded_samples/sample_011/1_previous_no_occlusion.jpg,already_present,
8,12,2,first_partial_occlusion,n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800851912460,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800851912460.jpg,occluded_samples/sample_011/2_first_partial_occlusion.jpg,already_present,
8,12,3,full_occlusion,n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800852412460,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800852412460.jpg,occluded_samples/sample_011/3_full_occlusion.jpg,already_present,
8,12,4,first_partial_appearance,n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800852912460,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800852912460.jpg,occluded_samples/sample_011/4_first_partial_appearance.jpg,already_present,
8,12,5,full_appearance,n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800853412460,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800853412460.jpg,occluded_samples/sample_011/5_full_appearance.jpg,already_present,
8,13,1,previous_no_occlusion,n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800847912460,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800847912460.jpg,occluded_samples/sample_012/1_previous_no_occlusion.jpg,already_present,
8,13,2,first_partial_occlusion,n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800849412460,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800849412460.jpg,occluded_samples/sample_012/2_first_partial_occlusion.jpg,already_present,
8,13,3,full_occlusion,n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800849912460,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800849912460.jpg,occluded_samples/sample_012/3_full_occlusion.jpg,already_present,
8,13,4,first_partial_appearance,n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800851412460,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800851412460.jpg,occluded_samples/sample_012/4_first_partial_appearance.jpg,already_present,
8,13,5,full_appearance,n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800851912460,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800851912460.jpg,occluded_samples/sample_012/5_full_appearance.jpg,already_present,
9,14,1,previous_no_occlusion,,,,empty_excel_cell,
9,14,2,first_partial_occlusion,,,,empty_excel_cell,
9,14,3,full_occlusion,,,,empty_excel_cell,
9,14,4,first_partial_appearance,,,,empty_excel_cell,
9,14,5,full_appearance,,,,empty_excel_cell,
10,15,1,previous_no_occlusion,,,,empty_excel_cell,
10,15,2,first_partial_occlusion,,,,empty_excel_cell,
10,15,3,full_occlusion,,,,empty_excel_cell,
10,15,4,first_partial_appearance,,,,empty_excel_cell,
10,15,5,full_appearance,,,,empty_excel_cell,
