sample_number,stage_number,stage_name,image_filename,num_detections,status,inference_time_ms,annotated_path,error
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,28,ok,836.4,results/annotated/sample_001/1_previous_no_occlusion.jpg,
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,33,ok,162.43,results/annotated/sample_001/2_first_partial_occlusion.jpg,
sample_001,3,full_occlusion,3_full_occlusion.jpg,33,ok,182.73,results/annotated/sample_001/3_full_occlusion.jpg,
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,34,ok,156.37,results/annotated/sample_001/4_first_partial_appearance.jpg,
sample_001,5,full_appearance,5_full_appearance.jpg,29,ok,161.0,results/annotated/sample_001/5_full_appearance.jpg,
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,14,ok,171.58,results/annotated/sample_003/1_previous_no_occlusion.jpg,
sample_003,3,full_occlusion,3_full_occlusion.jpg,21,ok,183.82,results/annotated/sample_003/3_full_occlusion.jpg,
sample_003,5,full_appearance,5_full_appearance.jpg,23,ok,141.68,results/annotated/sample_003/5_full_appearance.jpg,
sample_004,1,previous_no_occlusion,1_previous_no_occlusion.jpg,14,ok,162.25,results/annotated/sample_004/1_previous_no_occlusion.jpg,
sample_004,3,full_occlusion,3_full_occlusion.jpg,14,ok,135.54,results/annotated/sample_004/3_full_occlusion.jpg,
sample_004,5,full_appearance,5_full_appearance.jpg,16,ok,160.04,results/annotated/sample_004/5_full_appearance.jpg,
sample_005,1,previous_no_occlusion,1_previous_no_occlusion.jpg,13,ok,139.24,results/annotated/sample_005/1_previous_no_occlusion.jpg,
sample_005,3,full_occlusion,3_full_occlusion.jpg,13,ok,167.94,results/annotated/sample_005/3_full_occlusion.jpg,
sample_005,5,full_appearance,5_full_appearance.jpg,12,ok,166.25,results/annotated/sample_005/5_full_appearance.jpg,
sample_006,1,previous_no_occlusion,1_previous_no_occlusion.jpg,14,ok,155.39,results/annotated/sample_006/1_previous_no_occlusion.jpg,
sample_006,3,full_occlusion,3_full_occlusion.jpg,20,ok,156.38,results/annotated/sample_006/3_full_occlusion.jpg,
sample_006,5,full_appearance,5_full_appearance.jpg,23,ok,144.46,results/annotated/sample_006/5_full_appearance.jpg,
sample_007,1,previous_no_occlusion,1_previous_no_occlusion.jpg,12,ok,135.2,results/annotated/sample_007/1_previous_no_occlusion.jpg,
sample_007,3,full_occlusion,3_full_occlusion.jpg,20,ok,168.0,results/annotated/sample_007/3_full_occlusion.jpg,
sample_007,5,full_appearance,5_full_appearance.jpg,31,ok,157.41,results/annotated/sample_007/5_full_appearance.jpg,
sample_011,1,previous_no_occlusion,1_previous_no_occlusion.jpg,23,ok,155.01,results/annotated/sample_011/1_previous_no_occlusion.jpg,
sample_011,2,first_partial_occlusion,2_first_partial_occlusion.jpg,22,ok,148.43,results/annotated/sample_011/2_first_partial_occlusion.jpg,
sample_011,3,full_occlusion,3_full_occlusion.jpg,29,ok,147.59,results/annotated/sample_011/3_full_occlusion.jpg,
sample_011,4,first_partial_appearance,4_first_partial_appearance.jpg,31,ok,152.71,results/annotated/sample_011/4_first_partial_appearance.jpg,
sample_011,5,full_appearance,5_full_appearance.jpg,21,ok,138.2,results/annotated/sample_011/5_full_appearance.jpg,
sample_012,1,previous_no_occlusion,1_previous_no_occlusion.jpg,19,ok,142.26,results/annotated/sample_012/1_previous_no_occlusion.jpg,
sample_012,2,first_partial_occlusion,2_first_partial_occlusion.jpg,23,ok,169.06,results/annotated/sample_012/2_first_partial_occlusion.jpg,
sample_012,3,full_occlusion,3_full_occlusion.jpg,19,ok,160.1,results/annotated/sample_012/3_full_occlusion.jpg,
sample_012,4,first_partial_appearance,4_first_partial_appearance.jpg,23,ok,162.85,results/annotated/sample_012/4_first_partial_appearance.jpg,
sample_012,5,full_appearance,5_full_appearance.jpg,22,ok,147.19,results/annotated/sample_012/5_full_appearance.jpg,
