metric,value,n_samples
valid_samples,5,8
rejected_samples,3,8
mean_center_error_px,330.6,5
median_center_error_px,422.8,5
mean_iou,0.085,5
median_iou,0,5
judgement_helpful,0,0
judgement_partly_helpful,0,0
judgement_misleading,0,0
ghost_risk_yes,0,0

sample,center_error_px,iou,memory_age_stages,prev_confidence,reappearance_confidence,judgement,ghost_risk
sample_001,126.5,0.088,1,0.783,0.854,,
sample_003,82.9,0.339,1,0.861,0.861,,
sample_004,422.8,0,1,0.91,0.914,,
sample_005,431.9,0,1,0.815,0.81,,
sample_006,589,0,1,0.93,0.931,,
