clip,frame_number,timestamp,class,confidence,x1,y1,x2,y2,inference_time_ms,cache_key
clip_sample_001,1,1533151610362404,car,0.91451,3.62,462.1,502.28,640.72,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.8942,536.08,462.99,677.68,556.33,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.8494,1154.1,461.7,1541.08,650.13,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.83519,861.54,451.71,911.01,492.79,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.6906,647.99,434.21,720.91,495.07,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.66833,980.44,448.13,1046.61,496.59,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.47575,770.68,442.21,800.74,470.08,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.2975,814.18,445.82,836.92,463.37,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.2619,483.8,457.51,555.54,529.91,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.24996,934.6,446.31,963.76,477.48,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.24001,721.08,441.14,750.91,477.57,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.21814,911.49,447.16,953.79,471.01,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.21068,486.0,457.26,557.15,527.99,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.1985,951.97,447.31,994.79,482.83,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.18252,726.05,443.8,758.5,477.34,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.13111,1139.44,448.78,1191.05,518.52,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.09888,1236.24,435.22,1299.22,471.2,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.09708,951.97,448.91,993.02,491.71,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
clip_sample_001,1,1533151610362404,car,0.09479,1238.55,433.32,1297.42,466.06,93.29,7a471f26245b58844cb4d0971aa5d924a2e408f6f9efe01b28c6be6365dc7587
