instance_token,clip_name,split,category,method,recovered_at_event_frame,identity_preserved_before_to_after
045cd82a77a1472499e8c15100cb5ff3,clip_sample_001,development,vehicle.car,bytetrack,True,False
045cd82a77a1472499e8c15100cb5ff3,clip_sample_001,development,vehicle.car,high_confidence_sort,True,False
06ff24b7f1e8479b934f1b74348028bc,clip_sample_001,development,vehicle.car,bytetrack,True,True
06ff24b7f1e8479b934f1b74348028bc,clip_sample_001,development,vehicle.car,high_confidence_sort,True,True
11ae216987c84c0abefef802331df41c,clip_sample_006,development,vehicle.car,bytetrack,True,True
11ae216987c84c0abefef802331df41c,clip_sample_006,development,vehicle.car,high_confidence_sort,True,True
155047a77309452a908e6c96ddd60b55,clip_sample_011,evaluation,human.pedestrian.adult,bytetrack,True,False
155047a77309452a908e6c96ddd60b55,clip_sample_011,evaluation,human.pedestrian.adult,high_confidence_sort,True,False
3620feb00d744241a94855f3a8913a78,clip_sample_001,development,vehicle.car,bytetrack,True,True
3620feb00d744241a94855f3a8913a78,clip_sample_001,development,vehicle.car,high_confidence_sort,True,True
3f81e988f45c44119cca8011a3274603,clip_sample_011,evaluation,vehicle.car,bytetrack,True,True
3f81e988f45c44119cca8011a3274603,clip_sample_011,evaluation,vehicle.car,high_confidence_sort,True,True
575b8651141f42d7bcaf03a8cab65bd3,clip_sample_011,evaluation,human.pedestrian.adult,bytetrack,False,False
575b8651141f42d7bcaf03a8cab65bd3,clip_sample_011,evaluation,human.pedestrian.adult,high_confidence_sort,False,False
7a8b24608009457b963da57aa18beb58,clip_sample_003,evaluation,vehicle.car,bytetrack,False,False
7a8b24608009457b963da57aa18beb58,clip_sample_003,evaluation,vehicle.car,high_confidence_sort,False,False
8c3247533921448abe371a59d4696252,clip_sample_011,evaluation,human.pedestrian.adult,bytetrack,True,True
8c3247533921448abe371a59d4696252,clip_sample_011,evaluation,human.pedestrian.adult,high_confidence_sort,False,False
9439a24131dc4e1faa3b5b73f518f1da,clip_sample_001,development,vehicle.truck,bytetrack,True,True
9439a24131dc4e1faa3b5b73f518f1da,clip_sample_001,development,vehicle.truck,high_confidence_sort,True,False
ba9b515701e248b0a00c814447cea8a1,clip_sample_006,development,vehicle.bicycle,bytetrack,False,False
ba9b515701e248b0a00c814447cea8a1,clip_sample_006,development,vehicle.bicycle,high_confidence_sort,False,False
c530e58bfaaf4ba38bf0f66c11381d7b,clip_sample_011,evaluation,human.pedestrian.adult,bytetrack,False,False
c530e58bfaaf4ba38bf0f66c11381d7b,clip_sample_011,evaluation,human.pedestrian.adult,high_confidence_sort,False,False
