event_id,method,n_window_frames,n_post_window_frames,window_coverage_rate,window_mean_iou,window_low_score_match_count,post_window_id_continuity_rate
clip_sample_001_track10_complete_absence_w1,bytetrack,1,8,1.0,0.9577,0,1.0
clip_sample_001_track10_complete_absence_w1,high_confidence_sort,1,8,1.0,0.9577,0,1.0
clip_sample_001_track10_complete_absence_w2,bytetrack,2,8,1.0,0.9445,0,1.0
clip_sample_001_track10_complete_absence_w2,high_confidence_sort,2,8,1.0,0.9445,0,1.0
clip_sample_001_track10_complete_absence_w3,bytetrack,3,7,1.0,0.9505,1,1.0
clip_sample_001_track10_complete_absence_w3,high_confidence_sort,3,7,1.0,0.9369,0,1.0
clip_sample_001_track10_complete_absence_w7,bytetrack,7,5,1.0,0.8588,1,1.0
clip_sample_001_track10_complete_absence_w7,high_confidence_sort,7,5,1.0,0.6082,0,0.0
clip_sample_001_track10_confidence_demotion_w1,bytetrack,1,8,1.0,0.9753,1,1.0
clip_sample_001_track10_confidence_demotion_w1,high_confidence_sort,1,8,1.0,0.9577,0,1.0
clip_sample_001_track10_confidence_demotion_w2,bytetrack,2,8,1.0,0.9724,2,1.0
clip_sample_001_track10_confidence_demotion_w2,high_confidence_sort,2,8,1.0,0.9445,0,1.0
clip_sample_001_track10_confidence_demotion_w3,bytetrack,3,7,1.0,0.972,3,1.0
clip_sample_001_track10_confidence_demotion_w3,high_confidence_sort,3,7,1.0,0.9369,0,1.0
clip_sample_001_track3_complete_absence_w1,bytetrack,1,14,1.0,0.9391,1,1.0
clip_sample_001_track3_complete_absence_w1,high_confidence_sort,1,14,1.0,0.8908,0,0.929
clip_sample_001_track3_complete_absence_w2,bytetrack,2,14,1.0,0.9287,1,1.0
clip_sample_001_track3_complete_absence_w2,high_confidence_sort,2,14,1.0,0.9004,0,0.929
clip_sample_001_track3_complete_absence_w3,bytetrack,3,13,1.0,0.9176,2,1.0
clip_sample_001_track3_complete_absence_w3,high_confidence_sort,3,13,1.0,0.8738,0,0.923
clip_sample_001_track3_complete_absence_w7,bytetrack,7,11,1.0,0.9062,4,1.0
