sample_number,stage_number,stage_name,image_filename,detected_class,confidence,x1,y1,x2,y2,box_width,box_height,inference_time_ms
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.92236,3.66,462.46,506.83,643.78,503.16,181.31,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.88396,533.7,463.75,677.41,556.48,143.72,92.72,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.82276,862.28,451.07,910.9,492.39,48.62,41.32,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.75438,1161.12,461.74,1556.29,652.32,395.17,190.58,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.65258,976.44,447.27,1047.73,496.86,71.28,49.58,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.63868,647.81,432.92,721.0,495.57,73.19,62.65,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.46852,770.78,442.33,800.78,470.3,29.99,27.97,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.2937,813.05,447.36,838.21,464.32,25.16,16.95,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.28594,477.29,457.41,554.59,531.27,77.31,73.86,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.28094,720.26,441.28,751.62,478.71,31.36,37.43,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.22631,933.75,446.3,962.19,475.85,28.44,29.54,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.20789,958.63,447.1,995.74,483.44,37.11,36.33,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.16609,911.84,446.87,955.41,470.51,43.57,23.64,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.16122,722.04,443.06,756.85,476.96,34.81,33.91,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.15783,1236.22,434.56,1301.27,472.56,65.06,38.0,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.12979,1162.78,462.13,1555.42,652.81,392.64,190.68,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.11492,1123.36,445.85,1148.48,487.68,25.13,41.83,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.10232,957.9,448.87,994.28,492.63,36.38,43.76,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,traffic light,0.1023,1200.99,292.95,1231.24,336.99,30.24,44.04,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.09171,687.23,442.87,723.25,493.39,36.02,50.51,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,truck,0.08186,1139.96,448.34,1192.93,517.41,52.97,69.07,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.07041,1081.44,451.11,1133.52,482.19,52.09,31.08,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,person,0.06945,1486.83,447.03,1518.04,518.17,31.21,71.15,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.06556,680.27,437.13,725.14,492.52,44.87,55.39,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.06421,1139.96,448.34,1192.93,517.41,52.97,69.07,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.0634,1238.64,433.29,1300.31,466.04,61.67,32.75,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,truck,0.06286,647.81,432.92,721.0,495.57,73.19,62.65,836.4
sample_001,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.0513,808.01,446.0,828.76,465.44,20.75,19.44,836.4
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.9291,59.71,460.25,587.44,653.69,527.74,193.43,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.83948,862.26,455.56,906.33,494.66,44.07,39.1,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.78269,525.06,468.75,667.55,564.17,142.49,95.43,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.73097,1196.21,466.84,1599.95,685.88,403.74,219.03,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.69617,969.54,452.49,1053.56,503.09,84.03,50.6,162.43
