clip,frame_number,timestamp,class,confidence,x1,y1,x2,y2,inference_time_ms
clip_sample_001,1,1533151610362404,car,0.91451,3.62,462.1,502.28,640.72,120.09
clip_sample_001,1,1533151610362404,car,0.8942,536.08,462.99,677.68,556.33,120.09
clip_sample_001,1,1533151610362404,car,0.8494,1154.1,461.7,1541.08,650.13,120.09
clip_sample_001,1,1533151610362404,car,0.83519,861.54,451.71,911.01,492.79,120.09
clip_sample_001,1,1533151610362404,car,0.6906,647.99,434.21,720.91,495.07,120.09
clip_sample_001,1,1533151610362404,car,0.66833,980.44,448.13,1046.61,496.59,120.09
clip_sample_001,1,1533151610362404,car,0.47575,770.68,442.21,800.74,470.08,120.09
clip_sample_001,1,1533151610362404,car,0.2975,814.18,445.82,836.92,463.37,120.09
clip_sample_001,1,1533151610362404,car,0.2619,483.8,457.51,555.54,529.91,120.09
clip_sample_001,1,1533151610362404,car,0.24996,934.6,446.31,963.76,477.48,120.09
clip_sample_001,1,1533151610362404,car,0.24001,721.08,441.14,750.91,477.57,120.09
clip_sample_001,1,1533151610362404,car,0.21814,911.49,447.16,953.79,471.01,120.09
clip_sample_001,1,1533151610362404,car,0.21068,486.0,457.26,557.15,527.99,120.09
clip_sample_001,1,1533151610362404,car,0.1985,951.97,447.31,994.79,482.83,120.09
clip_sample_001,1,1533151610362404,car,0.18252,726.05,443.8,758.5,477.34,120.09
clip_sample_001,1,1533151610362404,car,0.13111,1139.44,448.78,1191.05,518.52,120.09
clip_sample_001,1,1533151610362404,car,0.09888,1236.24,435.22,1299.22,471.2,120.09
clip_sample_001,1,1533151610362404,car,0.09708,951.97,448.91,993.02,491.71,120.09
clip_sample_001,1,1533151610362404,car,0.09479,1238.55,433.32,1297.42,466.06,120.09
clip_sample_001,1,1533151610362404,car,0.09187,409.14,475.05,489.88,528.08,120.09
clip_sample_001,1,1533151610362404,traffic light,0.08972,1196.23,296.53,1228.16,334.48,120.09
clip_sample_001,1,1533151610362404,car,0.08137,696.81,445.13,723.23,492.37,120.09
clip_sample_001,1,1533151610362404,car,0.07984,1083.54,452.38,1134.7,483.03,120.09
clip_sample_001,1,1533151610362404,car,0.07414,1125.4,448.66,1146.99,487.14,120.09
clip_sample_001,1,1533151610362404,truck,0.07255,647.99,434.21,720.91,495.07,120.09
clip_sample_001,1,1533151610362404,truck,0.06732,1139.44,448.78,1191.05,518.52,120.09
clip_sample_001,1,1533151610362404,car,0.05996,678.67,438.1,724.51,491.9,120.09
clip_sample_001,2,1533151610412404,car,0.92236,3.66,462.46,506.83,643.78,101.0
clip_sample_001,2,1533151610412404,car,0.88396,533.7,463.75,677.41,556.48,101.0
clip_sample_001,2,1533151610412404,car,0.82276,862.28,451.07,910.9,492.39,101.0
clip_sample_001,2,1533151610412404,car,0.75438,1161.12,461.74,1556.29,652.32,101.0
clip_sample_001,2,1533151610412404,car,0.65258,976.44,447.27,1047.73,496.86,101.0
clip_sample_001,2,1533151610412404,car,0.63868,647.81,432.92,721.0,495.57,101.0
clip_sample_001,2,1533151610412404,car,0.46852,770.78,442.33,800.78,470.3,101.0
clip_sample_001,2,1533151610412404,car,0.2937,813.05,447.36,838.21,464.32,101.0
clip_sample_001,2,1533151610412404,car,0.28594,477.29,457.41,554.59,531.27,101.0
clip_sample_001,2,1533151610412404,car,0.28094,720.26,441.28,751.62,478.71,101.0
clip_sample_001,2,1533151610412404,car,0.22631,933.75,446.3,962.19,475.85,101.0
clip_sample_001,2,1533151610412404,car,0.20789,958.63,447.1,995.74,483.44,101.0
clip_sample_001,2,1533151610412404,car,0.16609,911.84,446.87,955.41,470.51,101.0
clip_sample_001,2,1533151610412404,car,0.16122,722.04,443.06,756.85,476.96,101.0
clip_sample_001,2,1533151610412404,car,0.15783,1236.22,434.56,1301.27,472.56,101.0
clip_sample_001,2,1533151610412404,car,0.12979,1162.78,462.13,1555.42,652.81,101.0
clip_sample_001,2,1533151610412404,car,0.11492,1123.36,445.85,1148.48,487.68,101.0
clip_sample_001,2,1533151610412404,car,0.10232,957.9,448.87,994.28,492.63,101.0
clip_sample_001,2,1533151610412404,traffic light,0.1023,1200.99,292.95,1231.24,336.99,101.0
clip_sample_001,2,1533151610412404,car,0.09171,687.23,442.87,723.25,493.39,101.0
clip_sample_001,2,1533151610412404,truck,0.08186,1139.96,448.34,1192.93,517.41,101.0
clip_sample_001,2,1533151610412404,car,0.07041,1081.44,451.11,1133.52,482.19,101.0
clip_sample_001,2,1533151610412404,person,0.06945,1486.83,447.03,1518.04,518.17,101.0
clip_sample_001,2,1533151610412404,car,0.06556,680.27,437.13,725.14,492.52,101.0
clip_sample_001,2,1533151610412404,car,0.06421,1139.96,448.34,1192.93,517.41,101.0
clip_sample_001,2,1533151610412404,car,0.0634,1238.64,433.29,1300.31,466.04,101.0
clip_sample_001,2,1533151610412404,truck,0.06286,647.81,432.92,721.0,495.57,101.0
clip_sample_001,2,1533151610412404,car,0.0513,808.01,446.0,828.76,465.44,101.0
clip_sample_001,3,1533151610512404,car,0.93199,5.98,461.76,513.96,646.06,97.32
clip_sample_001,3,1533151610512404,car,0.90723,1168.93,464.48,1581.53,661.95,97.32
clip_sample_001,3,1533151610512404,car,0.89631,529.95,464.06,674.79,558.16,97.32
clip_sample_001,3,1533151610512404,car,0.8315,862.66,452.44,910.1,492.83,97.32
clip_sample_001,3,1533151610512404,car,0.66216,982.34,448.48,1048.26,497.94,97.32
clip_sample_001,3,1533151610512404,person,0.51277,1503.93,446.29,1538.16,519.1,97.32
clip_sample_001,3,1533151610512404,car,0.49157,769.88,442.89,801.2,470.66,97.32
clip_sample_001,3,1533151610512404,car,0.46643,646.86,433.48,720.11,496.41,97.32
clip_sample_001,3,1533151610512404,car,0.30103,813.14,445.56,838.38,463.87,97.32
clip_sample_001,3,1533151610512404,car,0.24737,472.29,459.21,553.92,532.07,97.32
clip_sample_001,3,1533151610512404,car,0.22863,720.0,444.64,751.51,481.02,97.32
clip_sample_001,3,1533151610512404,traffic light,0.22108,1210.93,290.96,1238.95,335.93,97.32
clip_sample_001,3,1533151610512404,car,0.21878,931.24,446.27,960.26,477.82,97.32
clip_sample_001,3,1533151610512404,car,0.19795,957.69,447.43,994.27,484.33,97.32
clip_sample_001,3,1533151610512404,car,0.18393,913.84,448.49,955.1,474.25,97.32
clip_sample_001,3,1533151610512404,car,0.15159,408.51,477.24,470.61,504.43,97.32
clip_sample_001,3,1533151610512404,car,0.13682,1240.83,435.34,1306.36,474.78,97.32
clip_sample_001,3,1533151610512404,car,0.12383,956.31,448.87,993.96,493.15,97.32
clip_sample_001,3,1533151610512404,car,0.10543,692.08,445.69,722.25,494.12,97.32
clip_sample_001,3,1533151610512404,car,0.10466,723.73,444.4,757.27,478.27,97.32
clip_sample_001,3,1533151610512404,car,0.0962,492.08,458.26,554.44,525.45,97.32
clip_sample_001,3,1533151610512404,car,0.09516,407.39,477.18,467.54,502.39,97.32
clip_sample_001,3,1533151610512404,car,0.08112,651.86,443.8,711.01,495.68,97.32
clip_sample_001,3,1533151610512404,car,0.07362,690.99,438.64,724.15,493.41,97.32
clip_sample_001,3,1533151610512404,truck,0.06655,646.86,433.48,720.11,496.41,97.32
clip_sample_001,3,1533151610512404,car,0.06505,634.54,459.59,672.76,499.25,97.32
clip_sample_001,3,1533151610512404,car,0.06204,1089.47,451.7,1128.3,482.41,97.32
clip_sample_001,3,1533151610512404,car,0.05875,402.47,475.94,509.15,530.9,97.32
clip_sample_001,3,1533151610512404,car,0.05764,844.76,450.91,867.77,465.77,97.32
clip_sample_001,3,1533151610512404,car,0.05676,1385.75,436.96,1467.15,477.71,97.32
clip_sample_001,3,1533151610512404,truck,0.05433,862.66,452.44,910.1,492.83,97.32
clip_sample_001,3,1533151610512404,car,0.05416,962.87,448.93,1004.98,488.31,97.32
clip_sample_001,3,1533151610512404,car,0.05214,715.96,445.81,750.26,488.92,97.32
clip_sample_001,4,1533151610612404,car,0.92161,11.3,461.24,525.71,649.46,100.52
