group_type,method,gap_length,class_name,clip,n_trials,coverage_rate,iou_at_least_030_rate,id_continuity_rate,center_error_mean_px,center_error_median_px,center_error_std_px,center_error_n,iou_mean,iou_median,iou_std,iou_n,prediction_time_ms_mean,prediction_time_ms_n
method_x_gap,sort_motion,1,,,9,1.0,1.0,1.0,3.472,2.234,3.676,9,0.921,0.909,0.035,9,0.534,9
method_x_gap,sort_motion,10,,,90,1.0,0.778,1.0,31.329,10.355,45.985,90,0.57,0.649,0.293,90,0.047,90
method_x_gap,sort_motion,2,,,18,1.0,1.0,1.0,3.3,2.28,3.024,18,0.905,0.905,0.038,18,0.244,18
method_x_gap,sort_motion,3,,,27,1.0,1.0,1.0,4.588,3.196,3.993,27,0.882,0.886,0.059,27,0.173,27
method_x_gap,sort_motion,5,,,45,1.0,1.0,1.0,6.503,4.033,5.769,45,0.838,0.842,0.08,45,0.107,45
method_x_gap,sort_motion,8,,,72,1.0,0.944,1.0,14.295,5.804,17.577,72,0.702,0.773,0.224,72,0.056,72
method_x_gap,static_memory,1,,,9,1.0,1.0,1.0,12.778,2.086,21.385,9,0.887,0.905,0.093,9,0.534,9
method_x_gap,static_memory,10,,,90,1.0,0.856,1.0,64.485,12.655,116.356,90,0.575,0.609,0.257,90,0.047,90
method_x_gap,static_memory,2,,,18,1.0,1.0,1.0,16.152,2.448,28.057,18,0.86,0.902,0.116,18,0.244,18
method_x_gap,static_memory,3,,,27,1.0,1.0,1.0,22.286,3.453,40.339,27,0.817,0.865,0.157,27,0.173,27
method_x_gap,static_memory,5,,,45,1.0,0.933,1.0,34.21,5.902,61.101,45,0.737,0.787,0.193,45,0.107,45
method_x_gap,static_memory,8,,,72,1.0,0.875,1.0,51.616,9.87,92.846,72,0.628,0.676,0.239,72,0.056,72
method_x_gap,yolo_only,1,,,9,0.0,0.0,1.0,,,,0,0.0,0.0,0.0,9,0.534,9
method_x_gap,yolo_only,10,,,90,0.0,0.0,1.0,,,,0,0.0,0.0,0.0,90,0.047,90
method_x_gap,yolo_only,2,,,18,0.0,0.0,1.0,,,,0,0.0,0.0,0.0,18,0.244,18
method_x_gap,yolo_only,3,,,27,0.0,0.0,1.0,,,,0,0.0,0.0,0.0,27,0.173,27
method_x_gap,yolo_only,5,,,45,0.0,0.0,1.0,,,,0,0.0,0.0,0.0,45,0.107,45
method_x_gap,yolo_only,8,,,72,0.0,0.0,1.0,,,,0,0.0,0.0,0.0,72,0.056,72
method_x_class,sort_motion,,car,,261,1.0,0.908,1.0,16.69,5.769,30.722,261,0.72,0.812,0.248,261,0.103,261
method_x_class,static_memory,,car,,261,1.0,0.904,1.0,46.233,9.122,90.321,261,0.673,0.731,0.243,261,0.103,261
method_x_class,yolo_only,,car,,261,0.0,0.0,1.0,,,,0,0.0,0.0,0.0,261,0.103,261
method_x_clip,sort_motion,,,clip_sample_001,203,1.0,0.901,1.0,9.15,4.598,13.443,203,0.716,0.803,0.256,203,0.107,203
method_x_clip,sort_motion,,,clip_sample_003,29,1.0,1.0,1.0,22.947,14.304,23.102,29,0.857,0.889,0.11,29,0.105,29
method_x_clip,sort_motion,,,clip_sample_006,29,1.0,0.862,1.0,63.214,39.401,65.057,29,0.613,0.661,0.233,29,0.075,29
method_x_clip,static_memory,,,clip_sample_001,203,1.0,1.0,1.0,8.274,6.618,7.275,203,0.756,0.775,0.153,203,0.107,203
method_x_clip,static_memory,,,clip_sample_003,29,1.0,0.621,1.0,178.396,138.001,121.724,29,0.416,0.448,0.275,29,0.105,29
method_x_clip,static_memory,,,clip_sample_006,29,1.0,0.517,1.0,179.789,141.021,116.365,29,0.346,0.373,0.27,29,0.075,29
method_x_clip,yolo_only,,,clip_sample_001,203,0.0,0.0,1.0,,,,0,0.0,0.0,0.0,203,0.107,203
method_x_clip,yolo_only,,,clip_sample_003,29,0.0,0.0,1.0,,,,0,0.0,0.0,0.0,29,0.105,29
method_x_clip,yolo_only,,,clip_sample_006,29,0.0,0.0,1.0,,,,0,0.0,0.0,0.0,29,0.075,29
